,x,y,z,priority,forward,my_area,exist
0,0,0.0875,0,109,TRUE,FALSE,TRUE
1,0,0.1875,0,108,FALSE,FALSE,TRUE
2,0,0.2875,0,107,TRUE,FALSE,TRUE
3,0,0.3875,0,106,FALSE,FALSE,TRUE
4,0,0.4875,0,105,TRUE,FALSE,TRUE
5,0,0.5875,0,104,FALSE,FALSE,TRUE
6,0,0.6875,0,103,TRUE,FALSE,TRUE
7,0,0.7875,0,102,FALSE,FALSE,TRUE
8,0,0.8875,0,101,TRUE,FALSE,TRUE
9,0.262,0.0665,0,18,TRUE,TRUE,TRUE
10,0.262,0.2165,0,17,TRUE,TRUE,TRUE
11,0.262,0.3665,0,16,TRUE,TRUE,FALSE
12,0.262,0.5965,0,15,TRUE,TRUE,TRUE
13,0.262,0.7465,0,14,TRUE,TRUE,TRUE
14,0.262,0.8965,0,13,TRUE,TRUE,TRUE
15,0.412,0.0665,0,12,TRUE,TRUE,TRUE
16,0.412,0.2165,0,11,TRUE,TRUE,TRUE
17,0.412,0.3665,0,10,TRUE,TRUE,FALSE
18,0.412,0.5965,0,9,TRUE,TRUE,TRUE
19,0.412,0.7465,0,8,TRUE,TRUE,TRUE
20,0.412,0.8965,0,7,TRUE,TRUE,TRUE
21,0.562,0.0665,0,6,TRUE,TRUE,TRUE
22,0.562,0.2165,0,5,TRUE,TRUE,TRUE
23,0.562,0.3665,0,4,TRUE,TRUE,FALSE
24,0.562,0.5965,0,3,TRUE,TRUE,FALSE
25,0.562,0.7465,0,2,TRUE,TRUE,FALSE
26,0.562,0.8965,0,1,TRUE,TRUE,TRUE
