,x,y,z,priority,open,row
0,0.9825,0.6,0.12,2,TRUE,0
1,0.9825,0.6,0.12,6,TRUE,0
2,0.9825,0.6,0.12,8,TRUE,0
3,0.9825,0.6,0.12,10,TRUE,0
4,0.9825,0.6,0.12,4,TRUE,1
5,0.9825,0.6,0.12,5,TRUE,1
6,0.9825,0.6,0.12,7,TRUE,1
7,0.9825,0.6,0.12,9,TRUE,1
8,1.1775,0.6,0.12,1,TRUE,2
9,1.1775,0.6,0.12,12,TRUE,2
10,1.1775,0.6,0.12,14,TRUE,2
11,1.1775,0.6,0.12,16,TRUE,2
12,1.1775,0.6,0.12,11,TRUE,3
13,1.1775,0.6,0.12,13,TRUE,3
14,1.1775,0.6,0.12,15,TRUE,3
15,1.1775,0.6,0.12,17,TRUE,3
16,1.3725,0.6,0.12,3,TRUE,4
17,1.3725,0.6,0.12,20,TRUE,4
18,1.3725,0.6,0.12,22,TRUE,4
19,1.3725,0.6,0.12,24,TRUE,4
20,1.3725,0.6,0.12,18,TRUE,5
21,1.3725,0.6,0.12,19,TRUE,5
22,1.3725,0.6,0.12,21,TRUE,5
23,1.3725,0.6,0.12,23,TRUE,5
